ID	ACTIVATIONDATE	DEACTIVATIONDATE	NAME	STATIONNUMBER	VISTANAME	AGENCY_ID	STREETCOUNTRY_ID	STREETADDRESSLINE1	STREETADDRESSLINE2	STREETADDRESSLINE3	STREETCITY	STREETSTATE_ID	STREETCOUNTY_ID	STREETPOSTALCODE	MAILINGCOUNTRY_ID	MAILINGADDRESSLINE1	MAILINGADDRESSLINE2	MAILINGADDRESSLINE3	MAILINGCITY	MAILINGSTATE_ID	MAILINGCOUNTY_ID	MAILINGPOSTALCODE	FACILITYTYPE_ID	MFN_ZEG_RECIPIENT	PARENT_ID	REALIGNEDFROM_ID	REALIGNEDTO_ID	VISN_ID	VERSION	CREATED	UPDATED	CREATEDBY	UPDATEDBY	CODE	POSTALNAME
"1,000,522"			WHITE RIVER JUNCTION MORC	405HK	WHITE RIVER JCT MORC	"1,009,121"	"1,006,840"				WHITE RIVER JUNCTION	"1,009,350"		05009	"1,006,840"				WHITE RIVER JUNCTION	"1,009,350"		05009	"1,009,177"	0	"1,000,089"			"1,002,201"	0	6/4/2004 1:18:48.000000 PM		Initial Load		MORC	VT
"1,000,526"	10/01/1998 00:00:00		FT HARRISON VET STATE HOME	436DT	FT. HARRISON VET STATE HOME	"1,009,121"	"1,006,840"	Box 250			Columbia Falls	"1,009,330"		59912	"1,006,840"	PO Box 250			Columbia Falls	"1,009,330"		59912	"1,009,219"	0	"1,000,095"	"1,001,443"		"1,002,219"	0	6/4/2004 1:18:48.000000 PM		Initial Load		STDM	MT
"1,000,527"			FT HARRISON STATE HOME	436DU	FT. HARRISON STATE HOME	"1,009,121"	"1,006,840"	2000 MONTANA AVENUE			GLENDIVE	"1,009,330"		59330	"1,006,840"	200 MONTANA AVENUE			GLENDIVE	"1,009,330"		59330	"1,009,221"	0	"1,000,095"			"1,002,219"	0	6/4/2004 1:18:48.000000 PM		Initial Load		STNB	MT
"1,000,528"			ANACONDA CBOC	436GA	ANACONDA CBOC	"1,009,121"	"1,006,840"	118 East 7th Street			ANACONDA	"1,009,330"		59711-2900	"1,006,840"	118 EAST 7TH STREET			ANACONDA	"1,009,330"		59711-2900	"1,009,148"	0	"1,000,095"			"1,002,219"	0	6/4/2004 1:18:48.000000 PM	4/12/2012 2:13:47.124202 PM	Initial Load	DataBroker - CQ# 0771 02/06/2012	CBOC	MT
"1,000,529"			GREAT FALLS CBOC	436GB	GREAT FALLS CBOC	"1,009,121"	"1,006,840"	"1417 9th ST South, Suite 200"			GREAT FALLS	"1,009,330"		59405-4509	"1,006,840"	"1417 9TH ST SOUTH, SUITE 200"			GREAT FALLS	"1,009,330"		59405-4509	"1,009,148"	0	"1,000,095"			"1,002,219"	0	6/4/2004 1:18:48.000000 PM	4/12/2012 2:13:47.126772 PM	Initial Load	DataBroker - CQ# 0771 02/06/2012	CBOC	MT
"1,000,530"			MISSOULA CBOC	436GC	MISSOULA CBOC	"1,009,121"	"1,006,840"	"2687 Palmer Street, Suite C"			MISSOULA	"1,009,330"		59808-1710	"1,006,840"	"2687 Palmer Street, Suite C"			MISSOULA	"1,009,330"		59808-1710	"1,009,148"	0	"1,000,095"			"1,002,219"	0	6/4/2004 1:18:48.000000 PM	4/12/2012 2:13:47.129788 PM	Initial Load	DataBroker - CQ# 0771 02/06/2012	CBOC	MT
"1,000,531"			BOZEMAN VA CLINIC	436GD	BOZEMAN VA CLINIC	"1,009,121"	"1,006,840"	"300 NORTH WILLSON,SUITE 703G"			BOZEMAN	"1,009,330"		59715-3551	"1,006,840"	"300 NORTH WILLSON, SUITE 703G"			BOZEMAN	"1,009,330"		59715-3551	"1,009,148"	0	"1,000,095"			"1,002,219"	0	6/4/2004 1:18:48.000000 PM	12/9/2015 9:44:39.761748 AM	Initial Load	DataBroker - CQ# 0936 11/03/2015	CBOC	MT
"1,000,532"	10/01/1998 00:00:00	12/31/1969 00:00:00	ZZ WOLF POINT CBOC	436GE	ZZ WOLF POINT CBOC	"1,009,121"	"1,006,840"					"1,009,330"		59201	"1,006,840"					"1,009,330"		59201	"1,009,148"	0		"1,001,445"			0	6/4/2004 1:18:48.000000 PM	10/16/2007 12:33:27.384904 PM	Initial Load	Cleanup For Inactive Rows	CBOC	MT
"1,000,533"			KALISPELL VA CLINIC	436GF	KALISPELL VA CLINIC	"1,009,121"	"1,006,840"	31 3 MILE DR			KALISPELL	"1,009,330"		59901-3099	"1,006,840"								"1,009,148"	0	"1,000,095"			"1,002,219"	0	6/4/2004 1:18:48.000000 PM	12/9/2015 9:44:39.767309 AM	Initial Load	DataBroker - CQ# 0936 11/03/2015	CBOC	MT
"1,000,534"	10/01/1998 00:00:00		BILLINGS VA CLINIC	436GH	BILLINGS VA CLINIC	"1,009,121"	"1,006,840"	1766 MAJESTIC LANE			BILLINGS	"1,009,330"		59102-6759	"1,006,840"								"1,009,148"	0	"1,000,095"	"1,001,444"		"1,002,219"	0	6/4/2004 1:18:48.000000 PM	12/9/2015 9:44:39.772352 AM	Initial Load	DataBroker - CQ# 0936 11/03/2015	CBOC	MT
